Diagonal,Random,moves
0,1,51.0
1,0,55.5
1,0,93.5
1,0,66.5
1,0,60.5
1,0,59.5
0,1,50.0
1,0,56.5
1,0,42.5
0,1,37.0
1,0,62.5
1,0,65.5
0,1,36.0
1,0,51.5
1,0,48.5
0,1,41.0
1,0,47.5
1,0,48.5
1,0,51.5
1,0,57.5
0,1,53.0
1,0,56.5
1,0,67.5
1,0,55.5
1,0,40.5
1,0,79.5
0,1,57.0
1,0,43.5
1,0,66.5
0,1,90.0
1,0,49.5
0,1,58.0
0,1,84.0
1,0,48.5
0,1,49.0
1,0,64.5
1,0,46.5
0,1,49.0
1,0,65.5
1,0,78.5
1,0,62.5
0,1,73.0
0,1,55.0
1,0,52.5
0,1,57.0
1,0,66.5
0,1,60.0
1,0,54.5
0,1,65.0
0,1,54.0
1,0,83.5
0,1,73.0
0,1,48.0
0,1,40.0
1,0,50.5
1,0,44.5
0,1,58.0
1,0,53.5
0,1,43.0
1,0,42.5
1,0,64
1,0,48
1,0,72
0,1,63
1,0,53
1,0,77
1,0,52
1,0,70
1,0,58
0,1,57
0,1,49
0,1,65
0,1,40
0,1,71
0,1,63
1,0,64
0,1,45
1,0,72
1,0,43
1,0,37
1,0,58
1,0,49
0,1,71
0,1,47
1,0,53
0,1,50
0,1,65
0,1,35
1,0,62
0,1,49
